accession_name,,branch_number,starch_content,yield_ha,index,selected
HLH21-0035,HLH21-0035,1.7,24.7,45.7,53.6,TRUE
HLF21-0022,HLF21-0022,1.7,25.7,40.4,50.3,TRUE
TMEB419,TMEB419,2.0,26.2,39.1,48.7,TRUE
VF21-0364,VF21-0364,1.7,25.6,35.3,40.2,TRUE
HLH21-0066,HLH21-0066,2.4,23.8,40.6,34.9,TRUE
VF21-0264,VF21-0264,1.6,25.4,31.3,33.0,TRUE
VH21-1500,VH21-1500,2.8,23.7,38.5,27.3,TRUE
VF21-0360,VF21-0360,3.0,25.8,30.6,24.3,TRUE
VH21-1503,VH21-1503,1.5,25.5,25.7,24.3,TRUE
HLH21-0046,HLH21-0046,1.6,25.4,26.0,24.0,TRUE
VF21-0369,VF21-0369,2.9,26.1,28.5,23.4,TRUE
HLH21-0094,HLH21-0094,2.1,25.8,26.0,23.2,TRUE
VF21-0250,VF21-0250,2.9,26.5,27.0,23.1,TRUE
VH21-1549,VH21-1549,1.7,26.3,22.0,21.3,TRUE
VF21-0358,VF21-0358,2.5,25.6,27.4,21.3,TRUE
VH21-1513,VH21-1513,1.4,21.7,35.0,20.0,TRUE
VH21-1505,VH21-1505,1.3,23.3,29.3,19.6,TRUE
VF21-0317,VF21-0317,3.3,25.7,28.4,18.7,TRUE
VF21-0348,VF21-0348,1.9,24.7,25.2,16.6,TRUE
VF21-0359,VF21-0359,1.6,25.4,21.7,16.3,TRUE
VF21-0343,VF21-0343,1.6,25.0,22.9,16.0,TRUE
HLF21-0019,HLF21-0019,3.3,22.0,39.1,15.7,TRUE
VF21-0365,VF21-0365,3.5,24.7,30.7,15.1,TRUE
VH21-1548,VH21-1548,3.3,23.1,35.1,14.8,TRUE
VH21-1583,VH21-1583,2.5,24.2,27.8,14.4,TRUE
VH21-1506,VH21-1506,2.0,23.8,27.4,14.1,TRUE
HLF21-0014,HLF21-0014,1.8,24.0,25.7,14.0,TRUE
VF21-0315,VF21-0315,1.6,24.6,22.0,12.5,FALSE
VH21-1521,VH21-1521,1.4,23.6,24.1,11.6,FALSE
VH21-1580,VH21-1580,2.8,25.7,22.3,11.0,FALSE
VF21-0357,VF21-0357,3.6,22.6,35.6,10.9,FALSE
VF21-0292,VF21-0292,1.7,23.4,25.7,10.9,FALSE
VF21-0268,VF21-0268,2.5,21.8,32.6,8.7,FALSE
VH21-1531,VH21-1531,1.8,23.5,24.2,8.5,FALSE
VH21-1508,VH21-1508,3.6,23.9,29.9,8.4,FALSE
VF21-0255,VF21-0255,2.5,24.6,23.1,7.9,FALSE
VF21-0333,VF21-0333,2.0,25.4,18.4,7.7,FALSE
VH21-1555,VH21-1555,2.1,23.4,25.0,7.4,FALSE
VH21-1569,VH21-1569,1.6,21.6,28.6,7.0,FALSE
VF21-0371,VF21-0371,3.1,25.6,20.5,5.5,FALSE
VH21-1573,VH21-1573,1.6,22.0,26.6,5.3,FALSE
VH21-1535,VH21-1535,3.0,23.0,28.6,4.8,FALSE
VH21-1502,VH21-1502,1.6,24.5,17.5,4.2,FALSE
HLH21-0112,HLH21-0112,1.8,22.6,24.2,3.7,FALSE
VH21-1533,VH21-1533,1.6,22.5,23.7,3.1,FALSE
VH21-1515,VH21-1515,2.5,23.9,22.4,2.8,FALSE
BB1,BB1,3.3,24.8,22.4,2.6,FALSE
VF21-0301,VF21-0301,1.7,21.2,27.8,2.4,FALSE
VF21-0289,VF21-0289,1.7,22.9,21.9,1.9,FALSE
VH21-1522,VH21-1522,3.4,23.5,26.8,1.5,FALSE
VF21-0270,VF21-0270,3.6,22.5,29.7,-0.2,FALSE
VH21-1518,VH21-1518,3.2,23.5,24.6,-0.5,FALSE
VH21-1537,VH21-1537,1.3,22.3,20.3,-2.0,FALSE
VF21-0302,VF21-0302,3.7,24.5,21.6,-2.8,FALSE
VF21-0372,VF21-0372,2.2,21.0,26.8,-3.9,FALSE
VF21-0263,VF21-0263,1.6,21.3,23.2,-4.6,FALSE
VF21-0257,VF21-0257,3.6,23.8,22.2,-5.5,FALSE
VF21-0344,VF21-0344,1.6,22.4,18.6,-5.8,FALSE
VF21-0281,VF21-0281,3.6,22.4,25.6,-7.6,FALSE
VF21-0267,VF21-0267,1.9,23.9,14.0,-7.9,FALSE
VF21-0260,VF21-0260,3.7,24.1,19.9,-8.9,FALSE
VF21-0385,VF21-0385,2.6,19.8,22.0,-22.1,FALSE
VF21-0379,VF21-0379,3.0,21.1,18.6,-23.2,FALSE
KM505,#N/A,1.4,29.3,25.5,47.0,TRUE
HLH21-0078,#N/A,2.8,25.8,35.2,34.2,TRUE
VF21-0325,#N/A,3.0,26.2,34.5,33.7,TRUE
HLH21-0034,#N/A,2.1,27.7,26.0,33.5,TRUE
HLH21-0071,#N/A,2.2,25.1,32.4,29.1,TRUE
VH21-1524,#N/A,1.3,23.7,33.1,28.3,TRUE
HLH21-0109,#N/A,2.3,25.8,28.0,25.3,TRUE
HLF21-0023,#N/A,3.3,24.3,36.9,25.1,TRUE
HLH21-0061,#N/A,1.5,25.7,24.9,24.4,TRUE
VH21-1566,#N/A,2.0,23.0,35.7,24.2,TRUE
HLF21-0018,#N/A,3.9,25.4,34.5,23.5,TRUE
HLH21-0057,#N/A,1.5,22.9,33.3,23.2,TRUE
HLH21-0051,#N/A,1.7,26.1,23.0,21.8,TRUE
HLH21-0060,#N/A,2.1,24.6,29.3,21.4,TRUE
VH21-1516,#N/A,2.1,22.6,35.6,21.3,TRUE
VH21-1511,#N/A,2.6,25.1,29.0,20.7,TRUE
VH21-1514,#N/A,2.4,23.0,35.2,20.7,TRUE
VH21-1540,#N/A,2.6,26.5,23.8,19.5,TRUE
HLH21-3750,#N/A,2.3,23.6,32.3,19.4,TRUE
VH21-1538,#N/A,2.7,23.7,32.9,19.0,TRUE
VH21-1527,#N/A,2.4,24.6,28.9,18.9,TRUE
HLH21-0076,#N/A,2.1,26.2,22.2,18.6,TRUE
VH21-1519,#N/A,1.7,24.9,24.7,18.4,TRUE
VF21-0298,#N/A,1.2,24.7,23.3,18.3,TRUE
VH21-1534,#N/A,1.6,23.7,28.4,18.3,TRUE
VF21-0323,#N/A,2.2,24.6,27.8,18.3,TRUE
VF21-0274,#N/A,1.6,23.8,27.9,18.1,TRUE
HLH21-0032,#N/A,3.2,24.0,33.6,18.0,TRUE
KU50,#N/A,1.3,24.1,25.4,17.9,TRUE
HLH21-0081,#N/A,1.6,24.9,24.1,17.9,TRUE
VH21-1545,#N/A,1.9,23.9,28.8,17.9,TRUE
HLH21-0111,#N/A,2.7,23.9,31.3,17.1,TRUE
HLH21-0107,#N/A,2.8,24.7,29.0,16.7,TRUE
HLF21-0006,#N/A,1.6,24.1,25.6,15.9,TRUE
HLH21-3950,#N/A,2.7,23.8,31.0,15.8,TRUE
VF21-0335,#N/A,2.5,24.4,28.2,15.7,TRUE
HLH21-0038,#N/A,2.1,23.3,30.0,15.6,TRUE
HLH21-0073,#N/A,2.7,24.5,28.4,15.6,TRUE
VF21-0278,#N/A,2.9,25.3,26.5,15.4,TRUE
HLH21-0029,#N/A,1.5,25.6,19.8,15.2,TRUE
BB3,#N/A,3.3,23.9,32.5,14.8,TRUE
HLH21-0043,#N/A,2.0,25.8,20.8,14.6,TRUE
VF21-0271,#N/A,1.4,23.6,25.6,14.4,TRUE
VH21-1501,#N/A,2.9,25.0,26.9,13.9,TRUE
VH21-1564,#N/A,2.4,24.0,28.1,13.9,TRUE
VH21-1572,#N/A,1.7,24.2,24.7,13.7,TRUE
VH21-1550,#N/A,2.9,24.1,29.5,13.4,FALSE
HLF21-0002,#N/A,3.3,26.0,24.9,13.4,FALSE
VH21-1539,#N/A,1.6,24.0,24.5,13.4,FALSE
HLH21-0069,#N/A,1.9,24.4,24.4,13.4,FALSE
HLH21-0059,#N/A,2.1,24.9,23.1,13.2,FALSE
VH21-1532,#N/A,2.7,23.9,28.4,12.3,FALSE
HLH21-0054,#N/A,2.6,25.3,23.5,12.3,FALSE
VF21-0367,#N/A,1.3,24.2,21.8,12.1,FALSE
