"year","trial_name","trial_type","plot_width","plot_length","plant_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","redspider_5mon1_3 ","branch_number","CBB_3mon","CMD_1mon","CMD_3mon","CMD_6mon","CMD_9mon","starch_content","height_1st_branch","flowering0_3","yield_ha","vigor1_5","planted_number_plot","plant_type","height","harvest_number","mites_3mon","root_skin_color1_3","root_constriction1_3","root_type1_5","root_number","germinated_number_plot","root_peduncle1_3","root_shape1_6","carotenoid1_8","harvest_number_plan","germination_perc","yield_ha_v2","starch_yield_ha"
2022,"202286DMF1C_dona","202286DMF1C_dona",1,3.2,"2022-March-19","Dong Nai",NA,"202286DMF1C_dona_rep1_BB1_291",1,291,15,13,"test"," (Operator: lizbethpino, Time: )","BB1","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",1,4,1,1,1,1,1,29.2,120,1,NA,5,4,3,310,4,NA,3,NA,3,NA,4,1,NA,1,4,100,NA,NA
2022,"202286DMF1C_dona","202286DMF1C_dona",1,3.2,"2022-March-19","Dong Nai",NA,"202286DMF1C_dona_rep1_BB2_288",1,288,12,13,"test"," (Operator: lizbethpino, Time: )","BB2","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",1,1,3,1,4,4,4,26.6,290,0,6.8,4,4,4,290,4,NA,1,1,4,34,4,2,2,1,4,100,21.25,5.6525
2022,"202286DMF1C_dona","202286DMF1C_dona",1,3.2,"2022-March-19","Dong Nai",NA,"202286DMF1C_dona_rep1_BB3_285",1,285,9,13,"test"," (Operator: lizbethpino, Time: )","BB3","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",1.5,4,1,1,1.33333333333333,2,3,27.9,110,1,14.8,4,4,2,285,4,NA,1,1,3,37,3,1,2,1,4,75,46.25,12.90375
2022,"202286DMF1C_dona","202286DMF1C_dona",1,3.2,"2022-March-19","Dong Nai",NA,"202286DMF1C_dona_rep1_CR24-16_124",1,124,9,6,"check"," (Operator: lizbethpino, Time: )","CR24-16","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",1,1,4.75,1,1,3,1,NA,230,0,3,2.5,4,3,230,4,NA,NA,1,4,14,4,NA,3,NA,4,100,9.375,NA
2022,"202286DMF1C_dona","202286DMF1C_dona",1,3.2,"2022-March-19","Dong Nai",NA,"202286DMF1C_dona_rep1_CR24-16_137",1,137,22,6,"check"," (Operator: lizbethpino, Time: )","CR24-16","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",1,1,1,1,1,2,1,NA,250,0,1,2.5,4,2,250,2,NA,NA,1,5,10,4,NA,3,NA,4,100,3.125,NA
2022,"202286DMF1C_dona","202286DMF1C_dona",1,3.2,"2022-March-19","Dong Nai",NA,"202286DMF1C_dona_rep1_CR24-16_176",1,176,15,8,"check"," (Operator: lizbethpino, Time: )","CR24-16","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",1,1,5,1,1,1,1,NA,250,0,3,2.5,4,1,250,4,NA,NA,1,4,20,4,NA,3,NA,4,100,9.375,NA
2022,"202286DMF1C_dona","202286DMF1C_dona",1,3.2,"2022-March-19","Dong Nai",NA,"202286DMF1C_dona_rep1_CR24-16_20",1,20,20,1,"check"," (Operator: lizbethpino, Time: )","CR24-16","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",1,1,5,1,1,1,1,NA,221,0,3,2.5,4,2,221,4,NA,3,1,4,18,4,1,3,NA,4,100,9.375,NA
2022,"202286DMF1C_dona","202286DMF1C_dona",1,3.2,"2022-March-19","Dong Nai",NA,"202286DMF1C_dona_rep1_CR24-16_202",1,202,18,9,"check"," (Operator: lizbethpino, Time: )","CR24-16","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",1,NA,1,1,1,1,1,NA,200,0,1,2.5,4,2,200,3,NA,NA,1,5,8,4,NA,2,NA,4,100,3.125,NA
2022,"202286DMF1C_dona","202286DMF1C_dona",1,3.2,"2022-March-19","Dong Nai",NA,"202286DMF1C_dona_rep1_HLF21-0001_311",1,311,12,14,"test"," (Operator: lizbethpino, Time: )","HLF21-0001","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",1,3,2,1,4,1,1,20,90,0,6.2,4,4,4,240,4,NA,1,2,4,20,4,2,5,1,4,100,19.375,3.875
2022,"202286DMF1C_dona","202286DMF1C_dona",1,3.2,"2022-March-19","Dong Nai",NA,"202286DMF1C_dona_rep1_HLF21-0002_331",1,331,9,15,"test"," (Operator: lizbethpino, Time: )","HLF21-0002","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",1,4,1,1,1,1,1,31.4,100,1,10,4,4,3,300,4,NA,1,1,4,32,4,1,2,1,4,100,31.25,9.8125
2022,"202286DMF1C_dona","202286DMF1C_dona",1,3.2,"2022-March-19","Dong Nai",NA,"202286DMF1C_dona_rep1_HLF21-0003_271",1,271,18,12,"test"," (Operator: lizbethpino, Time: )","HLF21-0003","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",1,4,1,1,1,1,1,23.3,290,1,8,4,4,3,300,3,NA,2,2,3,26,4,2,5,1,4,100,25,5.825
2022,"202286DMF1C_dona","202286DMF1C_dona",1,3.2,"2022-March-19","Dong Nai",NA,"202286DMF1C_dona_rep1_HLF21-0004_364",1,364,19,16,"test"," (Operator: lizbethpino, Time: )","HLF21-0004","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",1,3,1,1,3.25,3.25,4,24.5,91,0,10.5,3.5,4,3,236,4,NA,2,1,4,30,4,2,2,1,4,100,32.8125,8.0390625
2022,"202286DMF1C_dona","202286DMF1C_dona",1,3.2,"2022-March-19","Dong Nai",NA,"202286DMF1C_dona_rep1_HLF21-0005_294",1,294,18,13,"test"," (Operator: lizbethpino, Time: )","HLF21-0005","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",1,4,1,1,4,3,3,29,110,1,10,4,4,3,300,4,NA,2,1,4,38,4,1,2,1,4,100,31.25,9.0625
2022,"202286DMF1C_dona","202286DMF1C_dona",1,3.2,"2022-March-19","Dong Nai",NA,"202286DMF1C_dona_rep1_HLF21-0006_348",1,348,3,16,"test"," (Operator: lizbethpino, Time: )","HLF21-0006","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",1,1,1,1,1,1,1,27.5,390,0,13.5,4,4,2,390,3,NA,1,1,3,34,3,2,1,1,4,75,42.1875,11.6015625
2022,"202286DMF1C_dona","202286DMF1C_dona",1,3.2,"2022-March-19","Dong Nai",NA,"202286DMF1C_dona_rep1_HLF21-0007_302",1,302,3,14,"test"," (Operator: lizbethpino, Time: )","HLF21-0007","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",1,1,5,1,2.25,3,4,NA,200,0,3,2,4,4,200,4,NA,1,1,4,15,4,2,3,NA,4,100,9.375,NA
2022,"202286DMF1C_dona","202286DMF1C_dona",1,3.2,"2022-March-19","Dong Nai",NA,"202286DMF1C_dona_rep1_HLF21-0008_261",1,261,8,12,"test"," (Operator: lizbethpino, Time: )","HLF21-0008","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",1,4,1,1,2.5,3,4,24.7,140,1,12.5,4,4,3,295,4,NA,1,1,3,46,4,1,2,1,4,100,39.0625,9.6484375
2022,"202286DMF1C_dona","202286DMF1C_dona",1,3.2,"2022-March-19","Dong Nai",NA,"202286DMF1C_dona_rep1_HLF21-0009_250",1,250,20,11,"test"," (Operator: lizbethpino, Time: )","HLF21-0009","test",10.949,107.076,15,NA,"Vietnam",NA,"dona",1,1.5,2.5,1,1,1,1,20,210,0,10,4,4,1,340,4,NA,2,1,4,28,4,2,2,1,4,100,31.25,6.25
